targetname,datetime_jd,datetime_str,H,G,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
1862 Apollo (1932 HA),2460676.5,A.D. 2025-Jan-01 00:00:00.0000,16.08,0.09,0.5598512269219823,0.6473073924293358,6.352347584914838,35.5571388802596,286.0291287551603,2460794.348966414,0.552633829909786,294.8726743398126,230.3690477117185,1.47065590550811,2.294004418586885,651.4259180600068
1862 Apollo (1932 HA),2460677.5,A.D. 2025-Jan-02 00:00:00.0000,16.08,0.09,0.559851001236588,0.6473080813414966,6.352345371356457,35.55714753795462,286.0290606248382,2460794.34897524,0.5526333727227726,295.4253567139513,230.7725262192835,1.470656716612086,2.294005351882675,651.4264569769174
1862 Apollo (1932 HA),2460678.5,A.D. 2025-Jan-03 00:00:00.0000,16.08,0.09,0.5598507793245459,0.6473087661154483,6.352343145119391,35.55715607675975,286.0289924468767,2460794.348983507,0.5526329137297915,295.9780386917337,231.1798556160277,1.470657530921187,2.294006295726926,651.4269980235399
1862 Apollo (1932 HA),2460679.5,A.D. 2025-Jan-04 00:00:00.0000,16.08,0.09,0.559850561235447,0.64730944670262,6.352340906940805,35.55716449138736,286.0289242288707,2460794.348991216,0.5526324528996449,296.5307202714484,231.5911140255908,1.470658348490776,2.294007250278933,651.42754123666
1862 Apollo (1932 HA),2460680.5,A.D. 2025-Jan-05 00:00:00.0000,16.08,0.09,0.5598503470259544,0.647310123037622,6.352338657582061,35.55717277658896,286.0288559797563,2460794.348998365,0.5526319902093538,297.0834014504959,232.0063816483974,1.470659169361635,2.294008215685648,651.4280866433754
1862 Apollo (1932 HA),2460681.5,A.D. 2025-Jan-06 00:00:00.0000,16.08,0.09,0.5598501367586443,0.6473107950398924,6.352336397825948,35.55718092717228,286.0287877097609,2460794.349004953,0.5526315256442331,297.6360822253312,232.4257408304778,1.47065999355983,2.294009192079768,651.4286342610079
1862 Apollo (1932 HA),2460682.5,A.D. 2025-Jan-07 00:00:00.0000,16.08,0.09,0.5598499305009343,0.6473114626153125,6.352334128474224,35.55718893801652,286.0287194303438,2460794.349010981,0.5526310591978395,298.1887625914347,232.8492761349142,1.470660821096806,2.2940101795783,651.4291840971637
1862 Apollo (1932 HA),2460683.5,A.D. 2025-Jan-08 00:00:00.0000,16.08,0.09,0.5598497283240849,0.6473121256577768,6.352331850345468,35.55719680408552,286.0286511541295,2460794.349016447,0.5526305908718426,298.7414425433024,233.2770744160146,1.470661651969616,2.294011178281456,651.4297361498858
1862 Apollo (1932 HA),2460684.5,A.D. 2025-Jan-09 00:00:00.0000,16.08,0.09,0.5598495303022791,0.6473127840506601,6.352329564273207,35.55720452043933,286.0285828948424,2460794.349021351,0.5526301206758789,299.2941220744443,233.7092248963191,1.470662486161177,2.294012188271695,651.4302904078264
1862 Apollo (1932 HA),2460685.5,A.D. 2025-Jan-10 00:00:00.0000,16.08,0.09,0.5598493365117666,0.6473134376682138,6.352327271104167,35.55721208224494,286.0285146672396,2460794.349025694,0.5526296486273764,299.846801177395,234.1458192465566,1.470663323640584,2.294013209612955,651.4308468504528
